pool,queue,queue_name,n,n_test,L,L_min,wait_mean,wait_p50,wait_p90,wait_p99,wait_max,recorded_p99_over_L,top1,top5,raw_top1,raw_top5,exceeds_L,mean_c,p99_c,max_concurrent,concurrent_p50,concurrent_p90,concurrent_p99,concurrent_p99.9,mean_concurrent,busy_time_fraction
GLOP195,5,infinite,14575,0,259200,259200,567.6889879931389,130.0,1538.6000000000004,4118.080000000002,515476.0,0.01588765432098766,0.3566868468126252,0.7694654634424019,0.3566881533860716,0.769465931659634,3,4459.160343053173,101715.96000000006,58,0.0,7.0,56.0,57.0,3.3634833660422934,0.15715950500705328
CE1,all,all,111236,66538,259200,900,562.4275054838362,4.0,465.0,12572.0,229741.0,0.04850308641975309,0.3726565752958308,0.7981171618241623,0.372665709770132,0.7980896143669918,521,3513.4069545830484,84972.29999999999,85,2.0,73.0,84.0,84.0,20.227304620590385,0.5833552675363824
CE1,1,test,21062,19135,900,900,671.7908555692717,4.0,7.0,24788.23999999999,73830.0,27.54248888888888,0.17467459601657276,0.5151948620054876,0.18303650167357963,0.5201067365296161,154,47.430870762510686,516.9499999999971,30,0.0,0.0,2.0,4.0,0.052228796215400324,0.03342446507369323
CE1,2,short,39857,10019,7200,7200,366.107183179868,4.0,650.0,6827.120000000112,229741.0,0.9482111111111267,0.19305505943713153,0.4340219418071218,0.19388609245523758,0.43460481485116587,108,178.7579346162531,1199.4400000000023,84,0.0,0.0,6.0,70.0,0.369100109082768,0.09474333670307554
CE1,3,long,19697,14346,86400,86400,536.164593592933,4.0,178.0,12312.760000000017,48463.0,0.14250879629629648,0.2653362783741191,0.6651422386350777,0.2654499855466547,0.6651940660605046,152,3130.1406813220287,54668.80000000002,82,0.0,11.0,33.0,80.0,3.1912285924162065,0.33805390504199617
CE1,4,day,10299,10232,129600,129600,495.76405476259833,4.0,448.00000000000364,11661.100000000002,61835.0,0.08997762345679014,0.15231925906500657,0.48538298422084675,0.15236235742315596,0.4854091487275823,61,7644.340809787358,86516.04000000001,56,0.0,16.0,45.0,52.0,4.07459014263977,0.28565717373679433
CE1,5,infinite,20321,12806,259200,259200,893.3755720683038,4.0,415.0,17024.19999999981,92160.0,0.06567978395061656,0.16244737916359217,0.5367568411136893,0.16245630037606856,0.5367617753596647,46,11924.125043058904,172863.8,85,1.0,42.0,84.0,84.0,12.54015698023624,0.5339228363879579
CE2,all,all,60519,50272,259200,900,623.6972025314365,1.0,4.0,15825.259999999987,316726.0,0.061054243827160445,0.41042310245794617,0.8579093637089612,0.4107772813189627,0.8577337600401643,191,2587.523191063963,55925.55999999997,56,0.0,36.0,52.0,56.0,8.113667525369584,0.38576139182118335
CE2,1,test,20081,15572,900,900,373.79019969125045,1.0,3.0,14992.40000000007,59053.0,16.6582222222223,0.355668911780243,0.5107930533544638,0.36464708946477403,0.5176097148066154,66,15.082914197500125,244.20000000000073,20,0.0,0.0,1.0,2.0,0.015896130102755573,0.011977006399957107
CE2,2,short,12046,9334,5400,5400,216.42437323592893,1.0,3.0,4331.049999999977,316726.0,0.8020462962962921,0.17762965927911153,0.4098175880082026,0.1892794072569392,0.4181781477465607,87,286.210360285572,3607.399999999994,54,0.0,0.0,5.0,13.0,0.1809885885907022,0.05172193758072658
CE2,3,long,8556,6889,86400,86400,481.38101916783546,2.0,6.0,18949.300000000054,215859.0,0.21932060185185248,0.3535622536298303,0.6865570000121893,0.3585699128686236,0.6889851003877284,31,1965.630551659654,32178.550000000203,35,0.0,2.0,16.0,22.0,0.8771559217017781,0.16990880581228263
CE2,4,day,8295,8004,129600,129600,214.3093429776974,1.0,3.0,5359.539999999995,51636.0,0.04135447530864194,0.17018748958803478,0.5194187667506915,0.17018748958803478,0.5194187667506915,0,4938.2143459915615,66542.05999999895,34,0.0,9.0,26.0,31.0,2.119888782981391,0.19412659832027648
CE2,5,infinite,10035,8967,259200,259200,2140.8963627304433,2.0,553.2000000000007,83598.95999999999,214594.0,0.3225268518518518,0.2018495302514243,0.5640664546564385,0.20185297474429503,0.5640683359683539,6,9467.255306427503,172887.0,56,0.0,22.0,48.0,56.0,4.916659016002843,0.32630419322275045
CE2,6,batch,1506,1506,3600,3600,167.4070385126162,1.0,2.0,2860.6000000000113,47387.0,0.7946111111111143,0.6185875858354652,0.9469671468964589,0.6191196490697323,0.9470411267416259,1,39.45285524568393,2025.1000000000008,4,0.0,0.0,0.0,1.0,0.003079085990114756,0.0030749975857713593
