pool,queue,queue_name,segment,policy,k,L,b0_s,bmax_s,eta
CE2,2,short,0,SPJF-E,46,5400,0.0,0.0,0.0
CE2,2,short,0,Constant-3.5L,46,5400,135000.0,135000.0,0.0
CE2,2,short,0,Age-3.5L,46,5400,62100.0,135000.0,0.5
CE2,2,short,0,Constant-5L,46,5400,507600.0,507600.0,0.0
CE2,2,short,0,Age-5L,46,5400,62100.0,507600.0,0.5
CE2,2,short,0,Constant-10L,46,5400,1749600.0,1749600.0,0.0
CE2,2,short,0,Age-10L,46,5400,124200.0,1749600.0,0.75
CE2,3,long,0,FCFS,20,86400,0.0,0.0,0.0
CE2,3,long,0,SJF,20,86400,0.0,0.0,0.0
CE2,3,long,0,SPJF-E,20,86400,0.0,0.0,0.0
CE2,3,long,0,Constant-3.5L,20,86400,1036800.0,1036800.0,0.0
CE2,3,long,0,Age-3.5L,20,86400,432000.0,1036800.0,0.5
CE2,3,long,0,Constant-5L,20,86400,3628800.0,3628800.0,0.0
CE2,3,long,0,Age-5L,20,86400,432000.0,3628800.0,0.5
CE2,3,long,0,Constant-10L,20,86400,12268800.0,12268800.0,0.0
CE2,3,long,0,Age-10L,20,86400,864000.0,12268800.0,0.75
CE2,4,day,0,FCFS,12,129600,0.0,0.0,0.0
CE2,4,day,0,SJF,12,129600,0.0,0.0,0.0
CE2,4,day,0,SPJF-E,12,129600,0.0,0.0,0.0
CE2,4,day,0,Constant-3.5L,12,129600,1036800.0,1036800.0,0.0
CE2,4,day,0,Age-3.5L,12,129600,388800.0,1036800.0,0.5
CE2,4,day,0,Constant-5L,12,129600,3369600.0,3369600.0,0.0
CE2,4,day,0,Age-5L,12,129600,388800.0,3369600.0,0.5
CE2,4,day,0,Constant-10L,12,129600,11145600.0,11145600.0,0.0
CE2,4,day,0,Age-10L,12,129600,777600.0,11145600.0,0.75
CE2,5,infinite,0,FCFS,43,259200,0.0,0.0,0.0
CE2,5,infinite,0,SJF,43,259200,0.0,0.0,0.0
CE2,5,infinite,0,SPJF-E,43,259200,0.0,0.0,0.0
CE2,5,infinite,0,Constant-3.5L,43,259200,6091200.0,6091200.0,0.0
CE2,5,infinite,0,Age-3.5L,43,259200,2786400.0,6091200.0,0.5
CE2,5,infinite,0,Constant-5L,43,259200,22809600.0,22809600.0,0.0
CE2,5,infinite,0,Age-5L,43,259200,2786400.0,22809600.0,0.5
CE2,5,infinite,0,Constant-10L,43,259200,78537600.0,78537600.0,0.0
CE2,5,infinite,0,Age-10L,43,259200,5572800.0,78537600.0,0.75
